timestamp,country,category,state,value
2022-02-24 12:35:34,Ukraine,Aircraft ,destroyed,1
2022-02-24 12:35:34,Ukraine,Armoured Fighting Vehicles ,captured,1
2022-02-24 12:35:34,Russia,Armoured Fighting Vehicles ,destroyed,1
2022-02-24 12:35:34,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-24 12:35:34,Ukraine,Armoured Personnel Carriers ,captured,1
2022-02-24 12:35:34,Russia,Helicopters ,damaged,1
2022-02-24 12:35:34,Ukraine,Infantry Fighting Vehicles ,captured,2
2022-02-24 12:35:34,Ukraine,Infantry Mobility Vehicles ,destroyed,1
2022-02-24 12:35:34,Russia,Infantry Mobility Vehicles ,destroyed,1
2022-02-24 12:35:34,Russia,Infantry Mobility Vehicles ,damaged,1
2022-02-24 12:35:34,Ukraine,Radars ,destroyed,3
2022-02-24 12:35:34,Ukraine,Radars ,damaged,2
2022-02-24 12:35:34,Russia,Tanks ,destroyed,1
2022-02-24 12:35:34,Russia,"Trucks, Vehicles and Jeeps ",captured,1
2022-02-24 12:35:34,Ukraine,"Trucks, Vehicles and Jeeps ",destroyed,4
2022-02-24 12:35:34,Ukraine,"Trucks, Vehicles and Jeeps ",captured,8
2022-02-24 14:40:43,Ukraine,Aircraft ,destroyed,-1
2022-02-24 14:40:43,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-24 14:40:43,Russia,Aircraft ,destroyed,1
2022-02-24 14:40:43,Ukraine,Armoured Fighting Vehicles ,abandoned,1
2022-02-24 14:40:43,Russia,Helicopters ,destroyed,1
2022-02-24 14:40:43,Russia,Infantry Fighting Vehicles ,captured,1
2022-02-24 14:40:43,Ukraine,Infantry Fighting Vehicles ,abandoned,3
2022-02-24 17:31:39,Russia,Aircraft ,destroyed,1
2022-02-24 17:31:39,Russia,"Trucks, Vehicles and Jeeps ",captured,3
2022-02-24 17:31:39,Ukraine,"Trucks, Vehicles and Jeeps ",destroyed,1
2022-02-24 17:31:39,Ukraine,"Trucks, Vehicles and Jeeps ",captured,3
2022-02-24 17:31:39,Ukraine,Aircraft ,destroyed,1
2022-02-24 17:31:39,Ukraine,Self-Propelled Artillery ,captured,2
2022-02-24 19:18:58,Ukraine,Aircraft ,destroyed,-1
2022-02-24 19:18:58,Russia,Armoured Fighting Vehicles ,destroyed,2
2022-02-24 19:18:58,Ukraine,Armoured Personnel Carriers ,abandoned,1
2022-02-24 19:18:58,Ukraine,Surface-to-air missile systems ,destroyed,1
2022-02-24 19:18:58,Russia,Surface-to-air missile systems ,destroyed,1
2022-02-24 19:18:58,Russia,"Trucks, Vehicles and Jeeps ",damaged,1
2022-02-24 23:11:42,Russia,"Trucks, Vehicles and Jeeps ",damaged,1
2022-02-24 23:11:42,Russia,"Trucks, Vehicles and Jeeps ",captured,2
2022-02-24 23:11:42,Russia,Engineering Vehicles ,destroyed,1
2022-02-24 23:11:42,Russia,Engineering Vehicles ,captured,2
2022-02-24 23:11:42,Russia,Mine-resistant ambush protected ,captured,1
2022-02-24 23:11:42,Russia,"Trucks, Vehicles and Jeeps ",destroyed,1
2022-02-25 18:38:32,Russia,Aircraft ,destroyed,1
2022-02-25 18:38:32,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-25 18:38:32,Ukraine,Infantry Fighting Vehicles ,abandoned,1
2022-02-25 18:38:32,Russia,Mine-resistant ambush protected ,captured,-1
2022-02-25 18:38:32,Ukraine,Surface-to-air missile systems ,destroyed,-1
2022-02-25 18:38:32,Russia,Surface-to-air missile systems ,destroyed,-1
2022-02-25 18:38:32,Ukraine,"Trucks, Vehicles and Jeeps ",destroyed,7
2022-02-25 18:38:32,Russia,"Trucks, Vehicles and Jeeps ",destroyed,5
2022-02-25 18:38:32,Russia,"Trucks, Vehicles and Jeeps ",captured,4
2022-02-25 18:38:32,Ukraine,Anti-tank Guided Missiles ,captured,1
2022-02-25 18:38:32,Ukraine,Anti-tank Guided Missiles ,optic,2
2022-02-25 18:38:32,Russia,Artillery ,destroyed,2
2022-02-25 18:38:32,Russia,Artillery ,captured,2
2022-02-25 18:38:32,Russia,Infantry Fighting Vehicles ,destroyed,1
2022-02-25 18:38:32,Russia,Infantry Fighting Vehicles ,abandoned,1
2022-02-25 18:38:32,Russia,Infantry Mobility Vehicles ,captured,3
2022-02-25 18:38:32,Russia,Mine-resistant Ambush Protected ,captured,1
2022-02-25 18:38:32,Russia,Mortars ,captured,1
2022-02-25 18:38:32,Russia,Multiple Rocket Launchers ,destroyed,3
2022-02-25 18:38:32,Russia,Multiple Rocket Launchers ,captured,1
2022-02-25 18:38:32,Russia,Surface-To-Air Missile Systems ,destroyed,1
2022-02-25 18:38:32,Russia,Surface-To-Air Missile Systems ,abandoned,1
2022-02-25 18:38:32,Ukraine,Surface-To-Air Missile Systems ,destroyed,3
2022-02-25 18:38:32,Russia,Tanks ,captured,1
2022-02-25 18:38:32,Ukraine,Tanks ,destroyed,2
2022-02-25 18:38:32,Ukraine,Tanks ,damaged,1
2022-02-25 18:38:32,Ukraine,"Trucks, Vehicles and Jeeps ",damaged,2
2022-02-25 18:38:32,Ukraine,"Trucks, Vehicles and Jeeps ",abandoned,1
2022-02-25 19:53:02,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-25 19:53:02,Russia,Infantry Fighting Vehicles ,destroyed,1
2022-02-25 19:53:02,Russia,"Trucks, Vehicles and Jeeps ",destroyed,1
2022-02-25 23:35:28,Ukraine,Tanks ,abandoned,1
2022-02-26 16:31:27,Ukraine,Armoured Fighting Vehicles ,abandoned,8
2022-02-26 16:31:27,Ukraine,Armoured Personnel Carriers ,abandoned,1
2022-02-26 16:31:27,Russia,Engineering Vehicles ,destroyed,2
2022-02-26 16:31:27,Russia,Engineering Vehicles ,captured,7
2022-02-26 16:31:27,Russia,Infantry Fighting Vehicles ,destroyed,1
2022-02-26 16:31:27,Russia,Infantry Fighting Vehicles ,abandoned,4
2022-02-26 16:31:27,Russia,Infantry Fighting Vehicles ,captured,2
2022-02-26 16:31:27,Ukraine,Infantry Fighting Vehicles ,abandoned,2
2022-02-26 16:31:27,Russia,Infantry Mobility Vehicles ,destroyed,1
2022-02-26 16:31:27,Russia,Mine-resistant Ambush Protected ,captured,1
2022-02-26 16:31:27,Russia,Multiple Rocket Launchers ,captured,3
2022-02-26 16:31:27,Ukraine,Surface-To-Air Missile Systems ,destroyed,1
2022-02-26 16:31:27,Russia,Tanks ,destroyed,2
2022-02-26 16:31:27,Russia,Tanks ,captured,1
2022-02-26 16:31:27,Ukraine,Tanks ,destroyed,1
2022-02-26 16:31:27,Ukraine,Tanks ,abandoned,4
2022-02-26 16:31:27,Russia,"Trucks, Vehicles and Jeeps ",destroyed,10
2022-02-26 16:31:27,Russia,"Trucks, Vehicles and Jeeps ",captured,3
2022-02-26 16:31:27,Ukraine,"Trucks, Vehicles and Jeeps ",destroyed,3
2022-02-26 16:31:27,Ukraine,"Trucks, Vehicles and Jeeps ",abandoned,2
2022-02-26 16:31:27,Russia,Anti-tank Guided Missiles ,captured,3
2022-02-26 16:31:27,Russia,Communications Vehicles ,abandoned,1
2022-02-26 16:31:27,Russia,Communications Vehicles ,captured,1
2022-02-26 16:31:27,Russia,Surface-To-Air Missile Systems ,damaged,1
2022-02-26 16:31:27,Russia,Tanks ,damaged,1
2022-02-26 16:31:27,Russia,Tanks ,abandoned,1
2022-02-26 16:31:27,Ukraine,Towed Artillery ,abandoned,2
2022-02-26 16:31:27,Russia,"Trucks, Vehicles and Jeeps ",abandoned,5
2022-02-26 17:23:01,Ukraine,Infantry Fighting Vehicles ,captured,1
2022-02-26 17:23:01,Ukraine,Infantry Mobility Vehicles ,destroyed,1
2022-02-26 17:23:01,Russia,Infantry Mobility Vehicles ,destroyed,1
2022-02-26 17:23:01,Ukraine,"Trucks, Vehicles and Jeeps ",captured,1
2022-02-27 05:16:03,Russia,Anti-tank Guided Missiles ,captured,1
2022-02-27 05:16:03,Ukraine,Armoured Fighting Vehicles ,abandoned,2
2022-02-27 05:16:03,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-27 05:16:03,Russia,Helicopters ,destroyed,1
2022-02-27 05:16:03,Russia,Infantry Fighting Vehicles ,destroyed,1
2022-02-27 05:16:03,Russia,Infantry Fighting Vehicles ,abandoned,1
2022-02-27 05:16:03,Russia,Infantry Fighting Vehicles ,captured,2
2022-02-27 05:16:03,Russia,Mortars ,captured,1
2022-02-27 05:16:03,Russia,Tanks ,abandoned,1
2022-02-27 05:16:03,Ukraine,"Trucks, Vehicles and Jeeps ",abandoned,2
2022-02-27 05:16:03,Russia,"Trucks, Vehicles and Jeeps ",captured,4
2022-02-27 05:16:03,Russia,Armoured Personnel Carriers ,destroyed,3
2022-02-27 05:16:03,Russia,Armoured Personnel Carriers ,captured,1
2022-02-27 05:16:03,Ukraine,Infantry Mobility Vehicles ,captured,2
2022-02-27 07:16:52,Russia,Armoured Fighting Vehicles ,destroyed,2
2022-02-27 07:16:52,Russia,Armoured Personnel Carriers ,destroyed,1
2022-02-27 07:16:52,Russia,Infantry Mobility Vehicles ,destroyed,3
2022-02-27 07:16:52,Russia,Tanks ,abandoned,1
2022-02-27 07:16:52,Russia,"Trucks, Vehicles and Jeeps ",destroyed,14
2022-02-27 07:16:52,Russia,"Trucks, Vehicles and Jeeps ",abandoned,9
2022-02-27 07:16:52,Russia,"Trucks, Vehicles and Jeeps ",captured,1
2022-02-27 07:16:52,Ukraine,Armoured Fighting Vehicles ,destroyed,1
2022-02-27 07:16:52,Russia,Infantry Mobility Vehicles ,abandoned,1
2022-02-27 16:07:20,Russia,Armoured Fighting Vehicles ,captured,1
2022-02-27 16:47:33,Russia,Armoured Personnel Carriers ,captured,1
2022-02-27 16:47:33,Russia,Surface-To-Air Missile Systems ,destroyed,1
2022-02-27 16:47:33,Russia,"Trucks, Vehicles and Jeeps ",destroyed,1
2022-02-27 20:34:12,Russia,Infantry Mobility Vehicles ,destroyed,1
2022-02-27 20:34:12,Russia,Infantry Mobility Vehicles ,captured,3
2022-02-27 20:34:12,Russia,Surface-To-Air Missile Systems ,destroyed,2
2022-02-27 20:34:12,Russia,"Trucks, Vehicles and Jeeps ",destroyed,10
2022-02-27 21:43:45,Russia,Infantry Mobility Vehicles ,captured,1
2022-02-27 21:43:45,Ukraine,Infantry Mobility Vehicles ,captured,1
2022-02-27 21:43:45,Ukraine,Tanks ,destroyed,1
2022-02-27 21:43:45,Russia,Tanks ,captured,1
2022-02-27 21:43:45,Ukraine,Aircraft ,destroyed,5
2022-02-28 00:57:24,Ukraine,Anti-tank Guided Missiles ,captured,6
2022-02-28 00:57:24,Ukraine,Anti-tank Guided Missiles ,optic,-2
